input_smile,is_patented,patent_cid,similar_smile_patent
Fc1cccc(C[Se]C(Cn2ccnc2)c2ccc(F)cc2F)c1,True,14211259.0,C1=CC=C(C=C1)C(CN2C=CN=C2)C3=CC=C(C=C3)F
Cc1nc(-c2ccc(C(C)(C)C)cc2)sc1-c1nnc(NCCN)o1,False,,None
Clc1ccc(C(Cn2ccnc2)[Se]Cc2ccccc2Br)c(Cl)c1,True,53871397.0,C1=CC(=CC=C1C=C(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Br
Clc1ccc(C(Cn2ccnc2)[Se]C(Cn2ccnc2)c2ccc(Cl)cc2)cc1,False,,None
CCCc1ccc(OCC(Cn2ccnc2)OCc2ccc(Cl)cc2)c(OC)c1,True,20329469.0,CCOC1=CC=CC=C1OC(CCC2=CC=C(C=C2)Cl)CN3C=CN=C3
Fc1ccc(C(Cn2ccnc2)[Se]Cc2ccccc2Br)c(F)c1,False,,None
CC(=O)N1CCN(c2ccc(OCCN(CC(O)(Cn3cncn3)c3ccc(F)cc3F)S(=O)(=O)c3ccc(Cl)cc3Cl)cc2)CC1,False,,None
OC(CSc1nc2ccccc2[nH]1)(Cn1cncn1)c1ccc(F)cc1,False,,None
Fc1ccc(C(Cn2ccnc2)[Se]Cc2ccccc2Cl)c(F)c1,True,162676958.0,C1=CC(=C(C=C1F)F)C(CN2C=CN=C2)[Se]CC3=C(C=C(C=C3)Cl)Cl
Clc1ccc(C(Cn2ccnc2)[Se][Se]C(Cn2ccnc2)c2ccc(Cl)cc2)cc1,False,,None
O=C(c1ccccc1)c1ccc2nc(SCC(O)(Cn3cncn3)c3ccc(Cl)cc3)[nH]c2c1,False,,None
COc1ccc2c(c1)C1(CCN(C(=O)/C=C/C(=O)Nc3ccccc3Cl)CC1)OC(=O)N2,False,,None
